"","BAIRRO","NM_VOTAVEL","votos_bairro","votos_cand","freq_cand"
"1","ABERTA DOS MORROS","FERNANDA MELCHIONNA E SILVA",3212,99,3.08219178082192
"2","ABERTA DOS MORROS","GUSTAVO BOHRER PAIM",3212,35,1.08966376089664
"3","ABERTA DOS MORROS","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",3212,125,3.89165628891656
"4","ABERTA DOS MORROS","JULIANA BRIZOLA",3212,240,7.4719800747198
"5","ABERTA DOS MORROS","JULIO CESAR LEIRIAS FLORES",3212,7,0.217932752179328
"6","ABERTA DOS MORROS","MANUELA PINTO VIEIRA D AVILA",3212,857,26.681195516812
"7","ABERTA DOS MORROS","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",3212,6,0.186799501867995
"8","ABERTA DOS MORROS","NELSON MARCHEZAN JÚNIOR",3212,620,19.3026151930262
"9","ABERTA DOS MORROS","RODRIGO MARINI MARONI",3212,10,0.311332503113325
"10","ABERTA DOS MORROS","SEBASTIÃO DE ARAÚJO MELO",3212,1130,35.1805728518057
"11","ABERTA DOS MORROS","VALTER LUIS DA COSTA NAGELSTEIN",3212,83,2.5840597758406
"12","AGRONOMIA","FERNANDA MELCHIONNA E SILVA",5303,232,4.37488214218367
"13","AGRONOMIA","GUSTAVO BOHRER PAIM",5303,47,0.88629077880445
"14","AGRONOMIA","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",5303,174,3.28116160663775
"15","AGRONOMIA","JULIANA BRIZOLA",5303,339,6.39260795775976
"16","AGRONOMIA","JULIO CESAR LEIRIAS FLORES",5303,8,0.150858004902885
"17","AGRONOMIA","LUIZ DELVAIR MARTINS BARROS",5303,1,0.0188572506128606
"18","AGRONOMIA","MANUELA PINTO VIEIRA D AVILA",5303,1730,32.6230435602489
"19","AGRONOMIA","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",5303,9,0.169715255515746
"20","AGRONOMIA","NELSON MARCHEZAN JÚNIOR",5303,1295,24.4201395436545
"21","AGRONOMIA","RODRIGO MARINI MARONI",5303,38,0.716575523288705
"22","AGRONOMIA","SEBASTIÃO DE ARAÚJO MELO",5303,1315,24.7972845559117
"23","AGRONOMIA","VALTER LUIS DA COSTA NAGELSTEIN",5303,115,2.16858382047897
"24","ANCHIETA","FERNANDA MELCHIONNA E SILVA",436,12,2.75229357798165
"25","ANCHIETA","GUSTAVO BOHRER PAIM",436,6,1.37614678899083
"26","ANCHIETA","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",436,16,3.6697247706422
"27","ANCHIETA","JULIANA BRIZOLA",436,19,4.35779816513761
"28","ANCHIETA","JULIO CESAR LEIRIAS FLORES",436,1,0.229357798165138
"29","ANCHIETA","MANUELA PINTO VIEIRA D AVILA",436,127,29.1284403669725
"30","ANCHIETA","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",436,1,0.229357798165138
"31","ANCHIETA","NELSON MARCHEZAN JÚNIOR",436,132,30.2752293577982
"32","ANCHIETA","RODRIGO MARINI MARONI",436,2,0.458715596330275
"33","ANCHIETA","SEBASTIÃO DE ARAÚJO MELO",436,105,24.0825688073394
"34","ANCHIETA","VALTER LUIS DA COSTA NAGELSTEIN",436,15,3.44036697247706
"35","ARQUIPÉLAGO","FERNANDA MELCHIONNA E SILVA",2779,74,2.66282835552357
"36","ARQUIPÉLAGO","GUSTAVO BOHRER PAIM",2779,7,0.251889168765743
"37","ARQUIPÉLAGO","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",2779,107,3.85030586541922
"38","ARQUIPÉLAGO","JULIANA BRIZOLA",2779,143,5.14573587621447
"39","ARQUIPÉLAGO","JULIO CESAR LEIRIAS FLORES",2779,3,0.107952500899604
"40","ARQUIPÉLAGO","LUIZ DELVAIR MARTINS BARROS",2779,1,0.0359841669665347
"41","ARQUIPÉLAGO","MANUELA PINTO VIEIRA D AVILA",2779,723,26.0165527168046
"42","ARQUIPÉLAGO","NELSON MARCHEZAN JÚNIOR",2779,716,25.7646635480389
"43","ARQUIPÉLAGO","RODRIGO MARINI MARONI",2779,14,0.503778337531486
"44","ARQUIPÉLAGO","SEBASTIÃO DE ARAÚJO MELO",2779,944,33.9690536164088
"45","ARQUIPÉLAGO","VALTER LUIS DA COSTA NAGELSTEIN",2779,47,1.69125584742713
"46","AUXILIADORA","FERNANDA MELCHIONNA E SILVA",5042,176,3.49067830226101
"47","AUXILIADORA","GUSTAVO BOHRER PAIM",5042,60,1.19000396667989
"48","AUXILIADORA","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",5042,65,1.28917096390321
"49","AUXILIADORA","JULIANA BRIZOLA",5042,211,4.18484728282428
"50","AUXILIADORA","JULIO CESAR LEIRIAS FLORES",5042,3,0.0595001983339944
"51","AUXILIADORA","MANUELA PINTO VIEIRA D AVILA",5042,1118,22.1737405791353
"52","AUXILIADORA","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",5042,13,0.257834192780643
"53","AUXILIADORA","NELSON MARCHEZAN JÚNIOR",5042,1260,24.9900833002777
"54","AUXILIADORA","RODRIGO MARINI MARONI",5042,18,0.357001190003967
"55","AUXILIADORA","SEBASTIÃO DE ARAÚJO MELO",5042,1851,36.7116223720746
"56","AUXILIADORA","VALTER LUIS DA COSTA NAGELSTEIN",5042,267,5.29551765172551
"57","AZENHA","FERNANDA MELCHIONNA E SILVA",8523,484,5.67875161328171
"58","AZENHA","GUSTAVO BOHRER PAIM",8523,130,1.52528452422856
"59","AZENHA","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",8523,156,1.83034142907427
"60","AZENHA","JULIANA BRIZOLA",8523,480,5.63181978176698
