"","BAIRRO","NM_VOTAVEL","votos_bairro","votos_cand","freq_cand"
"1","ABERTA DOS MORROS","MANUELA PINTO VIEIRA D AVILA",3428,1490,43.465577596266
"2","ABERTA DOS MORROS","SEBASTIÃO DE ARAÚJO MELO",3428,1938,56.534422403734
"3","AGRONOMIA","MANUELA PINTO VIEIRA D AVILA",5651,3006,53.1941249336401
"4","AGRONOMIA","SEBASTIÃO DE ARAÚJO MELO",5651,2645,46.8058750663599
"5","ANCHIETA","MANUELA PINTO VIEIRA D AVILA",453,197,43.4878587196468
"6","ANCHIETA","SEBASTIÃO DE ARAÚJO MELO",453,256,56.5121412803532
"7","ARQUIPÉLAGO","MANUELA PINTO VIEIRA D AVILA",2926,1304,44.565960355434
"8","ARQUIPÉLAGO","SEBASTIÃO DE ARAÚJO MELO",2926,1622,55.434039644566
"9","AUXILIADORA","MANUELA PINTO VIEIRA D AVILA",5172,1762,34.0680587780356
"10","AUXILIADORA","SEBASTIÃO DE ARAÚJO MELO",5172,3410,65.9319412219644
"11","AZENHA","MANUELA PINTO VIEIRA D AVILA",8819,4324,49.0305023245266
"12","AZENHA","SEBASTIÃO DE ARAÚJO MELO",8819,4495,50.9694976754734
"13","BELA VISTA","MANUELA PINTO VIEIRA D AVILA",1259,357,28.3558379666402
"14","BELA VISTA","SEBASTIÃO DE ARAÚJO MELO",1259,902,71.6441620333598
"15","BELÉM NOVO","MANUELA PINTO VIEIRA D AVILA",6826,2853,41.7960738353355
"16","BELÉM NOVO","SEBASTIÃO DE ARAÚJO MELO",6826,3973,58.2039261646645
"17","BELÉM VELHO","MANUELA PINTO VIEIRA D AVILA",4960,2193,44.2137096774194
"18","BELÉM VELHO","SEBASTIÃO DE ARAÚJO MELO",4960,2767,55.7862903225806
"19","BOA VISTA","MANUELA PINTO VIEIRA D AVILA",1813,637,35.1351351351351
"20","BOA VISTA","SEBASTIÃO DE ARAÚJO MELO",1813,1176,64.8648648648649
"21","BOA VISTA DO SUL","MANUELA PINTO VIEIRA D AVILA",615,244,39.6747967479675
"22","BOA VISTA DO SUL","SEBASTIÃO DE ARAÚJO MELO",615,371,60.3252032520325
"23","BOM FIM","MANUELA PINTO VIEIRA D AVILA",4915,2580,52.4923702950153
"24","BOM FIM","SEBASTIÃO DE ARAÚJO MELO",4915,2335,47.5076297049847
"25","BOM JESUS","MANUELA PINTO VIEIRA D AVILA",8027,4507,56.1480004983182
"26","BOM JESUS","SEBASTIÃO DE ARAÚJO MELO",8027,3520,43.8519995016818
"27","CAMAQUÃ","MANUELA PINTO VIEIRA D AVILA",5750,2697,46.904347826087
"28","CAMAQUÃ","SEBASTIÃO DE ARAÚJO MELO",5750,3053,53.095652173913
"29","CAMPO NOVO","MANUELA PINTO VIEIRA D AVILA",2281,995,43.6212187637001
"30","CAMPO NOVO","SEBASTIÃO DE ARAÚJO MELO",2281,1286,56.3787812362999
"31","CASCATA","MANUELA PINTO VIEIRA D AVILA",1539,859,55.8154645873944
"32","CASCATA","SEBASTIÃO DE ARAÚJO MELO",1539,680,44.1845354126056
"33","CAVALHADA","MANUELA PINTO VIEIRA D AVILA",16703,8027,48.0572352272047
"34","CAVALHADA","SEBASTIÃO DE ARAÚJO MELO",16703,8676,51.9427647727953
"35","CENTRO HISTÓRICO","MANUELA PINTO VIEIRA D AVILA",24657,12328,49.9979721782861
"36","CENTRO HISTÓRICO","SEBASTIÃO DE ARAÚJO MELO",24657,12329,50.0020278217139
"37","CHÁCARA DAS PEDRAS","MANUELA PINTO VIEIRA D AVILA",4686,1861,39.7140418267179
"38","CHÁCARA DAS PEDRAS","SEBASTIÃO DE ARAÚJO MELO",4686,2825,60.2859581732821
